Random numbers drawn from Gaussian with mu = 40.0 and sigma = 2.0 
1	44.2407986168
2	39.9184847489
3	40.0609442772
4	39.9901253337
5	38.9012191432
6	40.5044926655
7	37.6246174251
8	41.5511102389
9	39.3156362282
10	39.4799841777
11	37.9475897365
12	44.4692257333
13	35.5841661021
14	38.779710713
15	39.4376891552
16	39.2671089841
17	39.6681856261
18	39.6592498607
19	40.5593143323
20	39.812015089
21	40.0594626175
22	43.3113130752
23	39.9896180547
24	40.6086311957
25	38.9221833206
26	38.9067224182
27	42.5127809849
28	39.8001806613
29	40.5955792823
30	39.8577241547
31	40.4108788505
32	40.0415753093
33	41.0191169957
34	38.3159586605
35	39.4593190289
36	37.564065864
37	40.5866563437
38	39.844279397
39	40.3334154057
40	41.631471853
41	40.0726011603
42	40.0520367791
43	41.7340128716
44	41.9413856662
45	39.9090677701
46	39.7870090026
47	44.048836925
48	40.5398910563
49	39.9919855354
50	40.5674017613
51	37.9741399782
52	41.9465957659
53	39.8299994386
54	39.9251652295
55	41.6043269882
56	40.9429831862
57	40.3009274533
58	38.4293395179
59	38.1393712337
60	42.4218523292
